id,override,price,link,availability
p7730-v9485-s,DE,390 EUR,https://www.morjas.com/product/the-hybrid-hiker-black-pony-hair,in stock
p1686-v3214-s,DE,440 EUR,https://www.morjas.com/product/the-hiking-boot-brown-grain,in stock
p813-v2330-s,DE,440 EUR,https://www.morjas.com/product/the-hiking-boot-black-grain,in stock
p3433-v5115-s,DE,440 EUR,https://www.morjas.com/product/the-hiking-boot-mudguard-edition,in stock
p7729-v9484-s,DE,440 EUR,https://www.morjas.com/product/the-hiking-boot-black-suede-mudguard,in stock
p1689-v3217-s,DE,450 EUR,https://www.morjas.com/product/the-alpine-boot-black-suede,in stock
p1690-v3218-s,DE,450 EUR,https://www.morjas.com/product/the-alpine-boot-brown-suede,in stock
p7728-v9483-s,DE,450 EUR,https://www.morjas.com/product/the-alpine-boot-black-grain,in stock
p7727-v9482-s,DE,450 EUR,https://www.morjas.com/product/the-alpine-boot-brown-grain,in stock
p7746-v9501-s,DE,450 EUR,https://www.morjas.com/product/the-country-boot-brown-nubuck-and-brown-grain,in stock
p1687-v3215-s,DE,390 EUR,https://www.morjas.com/product/the-monkey-boot-black-grain,in stock
p7337-v9092-s,DE,140 EUR,https://www.morjas.com/product/the-belt-black-suede,in stock
p7338-v9093-s,DE,150 EUR,https://www.morjas.com/product/the-belt-brown-pony-hair,in stock
p7339-v9094-s,DE,150 EUR,https://www.morjas.com/product/the-belt-black-pony-hair,in stock
p2460-v4072-s,DE,140 EUR,https://www.morjas.com/product/the-belt-sand-suede,in stock
p2461-v4073-s,DE,140 EUR,https://www.morjas.com/product/the-belt-taupe-suede,in stock
p7763-v9531-s,DE,140 EUR,https://www.morjas.com/product/the-belt-black-suede-wide-braided,in stock
p7764-v9532-s,DE,140 EUR,https://www.morjas.com/product/the-belt-brown-suede-wide-braided,in stock
p664-v2181-s,DE,140 EUR,https://www.morjas.com/product/the-belt-black-grain,in stock
p665-v2182-s,DE,140 EUR,https://www.morjas.com/product/the-belt-brown-grain,in stock
p760-v2277-s,DE,140 EUR,https://www.morjas.com/product/the-belt-brown-suede-1,in stock
p761-v2278-s,DE,140 EUR,https://www.morjas.com/product/the-belt-medium-brown-suede-1,in stock
p762-v2279-s,DE,140 EUR,https://www.morjas.com/product/the-belt-black-braided,in stock
p763-v2280-s,DE,140 EUR,https://www.morjas.com/product/the-belt-brown-braided,in stock
p3126-v4807-s,DE,140 EUR,https://www.morjas.com/product/the-belt-black-wide-braided,in stock
p3127-v4808-s,DE,140 EUR,https://www.morjas.com/product/the-belt-brown-wide-braided,in stock
p3418-v5100-s,DE,140 EUR,https://www.morjas.com/product/the-belt-black-calf-matte-gold-buckle,in stock
p666-v2183-s,DE,140 EUR,https://www.morjas.com/product/the-belt-black-embossed,in stock
p757-v2274-s,DE,140 EUR,https://www.morjas.com/product/the-belt-black-calf-1,in stock
p758-v2275-s,DE,140 EUR,https://www.morjas.com/product/the-belt-burgundy-calf-1,in stock
p759-v2276-s,DE,140 EUR,https://www.morjas.com/product/the-belt-brown-calf-1,in stock
p3419-v5101-s,DE,140 EUR,https://www.morjas.com/product/the-belt-black-grain-silver-buckle,in stock
p7765-v9533-s,DE,140 EUR,https://www.morjas.com/product/the-belt-mull-nubuck-silver-buckle,in stock
p7813-v9595-s,DE,140 EUR,https://www.morjas.com/product/the-belt-matte-gold-buckle-black-embossed,in stock
p7807-v9589-s,DE,140 EUR,https://www.morjas.com/product/the-belt-matte-gold-buckle-brown-calf,in stock
p7806-v9588-s,DE,140 EUR,https://www.morjas.com/product/the-belt-matte-gold-buckle-burgundy-calf,in stock
p7808-v9590-s,DE,140 EUR,https://www.morjas.com/product/the-belt-silver-buckle-black-suede,in stock
p7809-v9591-s,DE,140 EUR,https://www.morjas.com/product/the-belt-silver-buckle-brown-suede,in stock
p7810-v9592-s,DE,140 EUR,https://www.morjas.com/product/the-belt-silver-buckle-medium-brown-suede,in stock
p7811-v9593-s,DE,140 EUR,https://www.morjas.com/product/the-belt-silver-buckle-sand-suede,in stock
p7812-v9594-s,DE,140 EUR,https://www.morjas.com/product/the-belt-silver-buckle-taupe-suede,in stock
p7814-v9596-s,DE,140 EUR,https://www.morjas.com/product/the-belt-silver-buckle-brown-grain,in stock
p7759-v9527-s,DE,110 EUR,https://www.morjas.com/product/the-card-holder-truffle-grey-embossed,in stock
p7760-v9528-s,DE,130 EUR,https://www.morjas.com/product/the-foldable-card-holder-truffle-grey-embossed,in stock
p7761-v9529-s,DE,90 EUR,https://www.morjas.com/product/the-luggage-tag-truffle-grey-embossed,in stock
p7762-v9530-s,DE,130 EUR,https://www.morjas.com/product/the-passport-holder-truffle-grey-embossed,in stock
p2449-v4061-s,DE,200 EUR,https://www.morjas.com/product/the-sleeve-black-grain,in stock
p1697-v3225-s,DE,250 EUR,https://www.morjas.com/product/the-toiletry-bag-black-grain,in stock
p1693-v3221-s,DE,140 EUR,https://www.morjas.com/product/the-wallet-black-grain,out of stock
p1694-v3222-s,DE,140 EUR,https://www.morjas.com/product/the-wallet-brown-grain,out of stock
p3121-v4802-s,DE,40 EUR,https://www.morjas.com/product/the-silk-sock-black-knee-high,in stock
p1471-v2988-s,DE,20 EUR,https://www.morjas.com/product/the-sock-black-ribbed-knee-high,in stock
p1472-v2989-s,DE,20 EUR,https://www.morjas.com/product/the-sock-navy-ribbed-knee-high,in stock
p1473-v2990-s,DE,20 EUR,https://www.morjas.com/product/the-sock-brown-ribbed-knee-high,in stock
p1474-v2991-s,DE,20 EUR,https://www.morjas.com/product/the-sock-dark-grey-ribbed-ribbed-knee-high,in stock
p1475-v2992-s,DE,20 EUR,https://www.morjas.com/product/the-sock-mid-grey-ribbed-knee-high,in stock
p1621-v3138-s,DE,20 EUR,https://www.morjas.com/product/the-sock-sand-ribbed-knee-high,in stock
p3694-v5449-s,DE,20 EUR,https://www.morjas.com/product/the-sock-knee-high-light-blue-ribbed,in stock
p76-v1593-s,DE,20 EUR,https://www.morjas.com/product/the-sock-navy-ribbed-mid-calf,in stock
p1700-v3228-s,DE,20 EUR,https://www.morjas.com/product/the-sock-dark-grey-ribbed-mid-calf,in stock
p1701-v3229-s,DE,20 EUR,https://www.morjas.com/product/the-sock-mid-grey-ribbed-mid-calf,in stock
p75-v1592-s,DE,20 EUR,https://www.morjas.com/product/the-sock-black-ribbed-mid-calf,in stock
p1702-v3230-s,DE,20 EUR,https://www.morjas.com/product/the-sock-brown-ribbed-mid-calf,out of stock
p1703-v3231-s,DE,20 EUR,https://www.morjas.com/product/the-sock-sand-ribbed-mid-calf,in stock
p3693-v5448-s,DE,20 EUR,https://www.morjas.com/product/the-sock-mid-calf-off-white-ribbed,in stock
p3115-v4796-s,DE,20 EUR,https://www.morjas.com/product/the-wool-sock-navy-ribbed-mid-calf,out of stock
p3116-v4797-s,DE,20 EUR,https://www.morjas.com/product/the-wool-sock-mid-brown-ribbed-mid-calf,out of stock
p3117-v4798-s,DE,20 EUR,https://www.morjas.com/product/the-wool-sock-ecru-ribbed-mid-calf,out of stock
p3668-v5423-s,DE,350 EUR,https://www.morjas.com/product/women-the-ballet-flat-black-nappa,in stock
p3667-v5422-s,DE,350 EUR,https://www.morjas.com/product/women-the-ballet-flat-brown-nappa,in stock
p7716-v9471-s,DE,350 EUR,https://www.morjas.com/product/women-the-ballet-flat-black-suede,in stock
p7796-v9578-s,DE,350 EUR,https://www.morjas.com/product/women-the-ballet-flat-ruby-nappa,in stock
p3665-v5420-s,DE,350 EUR,https://www.morjas.com/product/women-the-ballet-flat-greige-suede,in stock
p3666-v5421-s,DE,350 EUR,https://www.morjas.com/product/women-the-ballet-flat-ivory-nappa,in stock
p7822-v9606-s,DE,350 EUR,https://www.morjas.com/product/women-the-ballet-flat-leather-sole-black-nappa,in stock
p7823-v9607-s,DE,350 EUR,https://www.morjas.com/product/women-the-ballet-flat-leather-sole-black-suede,in stock
p7800-v9582-s,DE,390 EUR,https://www.morjas.com/product/women-the-soft-moc-brown-grain,in stock
p7799-v9581-s,DE,390 EUR,https://www.morjas.com/product/women-the-soft-moc-black-grain,in stock
p7801-v9583-s,DE,390 EUR,https://www.morjas.com/product/women-the-soft-moc-brown-suede,in stock
p3672-v5427-s,DE,370 EUR,https://www.morjas.com/product/women-the-penny-loafer-black-calf,in stock
p7718-v9473-s,DE,370 EUR,https://www.morjas.com/product/women-the-penny-loafer-brown-suede,in stock
p3673-v5428-s,DE,370 EUR,https://www.morjas.com/product/women-the-penny-loafer-burgundy-calf,in stock
p3674-v5429-s,DE,370 EUR,https://www.morjas.com/product/women-the-penny-loafer-ivory-calf,in stock
p7717-v9472-s,DE,370 EUR,https://www.morjas.com/product/women-the-penny-loafer-black-suede,in stock
p3702-v5457-s,DE,280 EUR,https://www.morjas.com/product/women-the-paloma-sandal-tan-nappa,in stock
p3703-v5458-s,DE,280 EUR,https://www.morjas.com/product/women-the-paloma-sandal-black-nappa,in stock
p3704-v5459-s,DE,280 EUR,https://www.morjas.com/product/women-the-paloma-sandal-brown-nappa,in stock
p7788-v9570-s,DE,280 EUR,https://www.morjas.com/product/women-the-paloma-sandal-taupe-grain,in stock
p7723-v9478-s,DE,480 EUR,https://www.morjas.com/product/women-the-ankle-boot-brown-nappa,in stock
p7722-v9477-s,DE,480 EUR,https://www.morjas.com/product/women-the-ankle-boot-black-nappa,in stock
p7724-v9479-s,DE,480 EUR,https://www.morjas.com/product/women-the-ankle-boot-black-suede,in stock
p7725-v9480-s,DE,480 EUR,https://www.morjas.com/product/women-the-ankle-boot-brown-suede,in stock
p3698-v5453-s,DE,150 EUR,https://www.morjas.com/product/women-the-espadrille-beige-suede,in stock
p3697-v5452-s,DE,150 EUR,https://www.morjas.com/product/women-the-espadrille-taupe-suede,in stock
p3699-v5454-s,DE,150 EUR,https://www.morjas.com/product/women-the-espadrille-black-suede,in stock
p7790-v9572-s,DE,350 EUR,https://www.morjas.com/product/women-the-boat-shoe-brown-suede,in stock
p7789-v9571-s,DE,350 EUR,https://www.morjas.com/product/women-the-boat-shoe-black-grain,in stock
p3701-v5456-s,DE,350 EUR,https://www.morjas.com/product/women-the-boat-shoe-sand-suede,in stock
p3700-v5455-s,DE,350 EUR,https://www.morjas.com/product/women-the-boat-shoe-white-grain,in stock
p7820-v9602-s,DE,350 EUR,https://www.morjas.com/product/women-the-flat-slingback-black-embossed,in stock
